VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
0, 0, -0.46695,  0.15591, -0.10208, -0.18356, -0.2073, -0.9609,  0.13372,  0.89941,  0.01111,  0.06539
1, 1, -0.50969,  0.16738, -0.09189, -0.33918, -0.3215, -0.88407,  0.16239,  0.90467,  0.01111,  0.06539
2, 2, -0.46534,  0.16534, -0.10435, -0.18354, -0.21966, -0.95815,  0.1423,  0.89079,  0.01111,  0.06539
3, 1, -0.50969,  0.16738, -0.09189, -0.33918, -0.3215, -0.88407,  0.16239,  0.90467,  0.01111,  0.06539
4, 0, -0.46695,  0.15591, -0.10208, -0.18356, -0.2073, -0.9609,  0.13372,  0.89941,  0.01111,  0.06539
5, 3, -0.50822,  0.16139, -0.0902, -0.33271, -0.33055, -0.8832,  0.15815,  0.90879,  0.01111,  0.06539
6, 2, -0.46534,  0.16534, -0.10435, -0.18354, -0.21966, -0.95815,  0.1423,  0.89079,  0.01111,  0.06539
7, 4, -0.4337,  0.14881, -0.10339, -0.13275, -0.36797, -0.92031,  0.12564,  0.8763,  0.01111,  0.06539
8, 0, -0.46695,  0.15591, -0.10208, -0.18356, -0.2073, -0.9609,  0.13372,  0.89941,  0.01111,  0.06539
9, 4, -0.4337,  0.14881, -0.10339, -0.13275, -0.36797, -0.92031,  0.12564,  0.8763,  0.01111,  0.06539
10, 2, -0.46534,  0.16534, -0.10435, -0.18354, -0.21966, -0.95815,  0.1423,  0.89079,  0.01111,  0.06539
11, 5, -0.43232,  0.1589, -0.1078, -0.12117, -0.355, -0.92698,  0.13353,  0.87666,  0.01111,  0.06539
12, 5, -0.43232,  0.1589, -0.1078, -0.12117, -0.355, -0.92698,  0.13353,  0.87666,  0.01111,  0.06539
13, 6, -0.40955,  0.1422, -0.10361,  0.07147, -0.2202, -0.97283,  0.12107,  0.86622,  0.01111,  0.06539
14, 4, -0.4337,  0.14881, -0.10339, -0.13275, -0.36797, -0.92031,  0.12564,  0.8763,  0.01111,  0.06539
15, 6, -0.40955,  0.1422, -0.10361,  0.07147, -0.2202, -0.97283,  0.12107,  0.86622,  0.01111,  0.06539
16, 5, -0.43232,  0.1589, -0.1078, -0.12117, -0.355, -0.92698,  0.13353,  0.87666,  0.01111,  0.06539
17, 7, -0.40637,  0.15292, -0.10543,  0.10663, -0.18028, -0.97782,  0.1255,  0.86365,  0.01111,  0.06539
18, 3, -0.50822,  0.16139, -0.0902, -0.33271, -0.33055, -0.8832,  0.15815,  0.90879,  0.01111,  0.06539
19, 8, -0.55497,  0.16502, -0.0714, -0.37391, -0.33547, -0.86467,  0.18485,  0.91975,  0.01111,  0.06539
20, 1, -0.50969,  0.16738, -0.09189, -0.33918, -0.3215, -0.88407,  0.16239,  0.90467,  0.01111,  0.06539
21, 7, -0.40637,  0.15292, -0.10543,  0.10663, -0.18028, -0.97782,  0.1255,  0.86365,  0.01111,  0.06539
22, 9, -0.39456,  0.13899, -0.1008,  0.26301, -0.1534, -0.95252,  0.11848,  0.85723,  0.01111,  0.06539
23, 6, -0.40955,  0.1422, -0.10361,  0.07147, -0.2202, -0.97283,  0.12107,  0.86622,  0.01111,  0.06539
24, 9, -0.39456,  0.13899, -0.1008,  0.26301, -0.1534, -0.95252,  0.11848,  0.85723,  0.01111,  0.06539
25, 7, -0.40637,  0.15292, -0.10543,  0.10663, -0.18028, -0.97782,  0.1255,  0.86365,  0.01111,  0.06539
26, 10, -0.39226,  0.14671, -0.10116,  0.29658, -0.13315, -0.94568,  0.12138,  0.85667,  0.01111,  0.06539
27, 11, -0.38634,  0.14256, -0.09806,  0.37175, -0.15408, -0.91546,  0.11845,  0.85193,  0.01111,  0.0654
28, 9, -0.39456,  0.13899, -0.1008,  0.26301, -0.1534, -0.95252,  0.11848,  0.85723,  0.01111,  0.06539
29, 10, -0.39226,  0.14671, -0.10116,  0.29658, -0.13315, -0.94568,  0.12138,  0.85667,  0.01111,  0.06539
