VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0,  5.70,  2.09977E-6,  5.70, -1.00,  0.00,  0.00,  0.00,  0.00, -1.00, -1.00,  0.93063,  0.01532
1, 1,  5.70,  3.87788,  5.70, -1.00,  0.00,  0.00,  0.00,  0.00, -1.00, -1.00,  0.93063,  1.00
2, 2,  5.70,  3.87788, -5.70, -1.00,  0.00,  0.00,  0.00,  0.00, -1.00, -1.00,  3.82536,  1.00
3, 0,  5.70,  2.09977E-6,  5.70, -1.00,  0.00,  0.00,  0.00,  0.00, -1.00, -1.00,  0.93063,  0.01532
4, 2,  5.70,  3.87788, -5.70, -1.00,  0.00,  0.00,  0.00,  0.00, -1.00, -1.00,  3.82536,  1.00
5, 3,  5.70,  2.10382E-6, -5.70, -1.00,  0.00,  0.00,  0.00,  0.00, -1.00, -1.00,  3.82536,  0.01531
6, 4,  5.84142,  3.87788, -5.84142,  1.00,  0.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.93063,  1.00
7, 5,  5.84142,  3.87788,  5.84142,  1.00,  0.00,  0.00,  0.00,  0.00,  1.00, -1.00,  3.89718,  1.00
8, 6,  5.84142,  2.14585E-6,  5.84142,  1.00,  0.00,  0.00,  0.00,  0.00,  1.00, -1.00,  3.89718,  0.01531
9, 4,  5.84142,  3.87788, -5.84142,  1.00,  0.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.93063,  1.00
10, 6,  5.84142,  2.14585E-6,  5.84142,  1.00,  0.00,  0.00,  0.00,  0.00,  1.00, -1.00,  3.89718,  0.01531
11, 7,  5.84142,  2.14990E-6, -5.84142,  1.00,  0.00,  0.00,  0.00,  0.00,  1.00, -1.00,  0.93063,  0.01531
12, 8,  5.70,  2.10382E-6, -5.70,  0.00, -1.00,  0.00,  0.00,  0.00,  1.00, -1.00, -1.80126,  0.93151
13, 9,  5.84142,  2.14990E-6, -5.84142,  0.00, -1.00,  0.00,  0.00,  0.00,  1.00, -1.00, -1.85797,  0.98822
14, 10,  5.84142,  2.14585E-6,  5.84142,  0.00, -1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  2.82643,  0.98822
15, 8,  5.70,  2.10382E-6, -5.70,  0.00, -1.00,  0.00,  0.00,  0.00,  1.00, -1.00, -1.80126,  0.93151
16, 10,  5.84142,  2.14585E-6,  5.84142,  0.00, -1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  2.82643,  0.98822
17, 11,  5.70,  2.09977E-6,  5.70,  0.00, -1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  2.76973,  0.93151
18, 12,  5.70,  3.87788,  5.70,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  2.76973,  0.98711
19, 13,  5.84142,  3.87788,  5.84142,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  2.82643,  0.9304
20, 14,  5.84142,  3.87788, -5.84142,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00, -1.85797,  0.9304
21, 12,  5.70,  3.87788,  5.70,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00,  2.76973,  0.98711
22, 14,  5.84142,  3.87788, -5.84142,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00, -1.85797,  0.9304
23, 15,  5.70,  3.87788, -5.70,  0.00,  1.00,  0.00,  0.00,  0.00,  1.00, -1.00, -1.80126,  0.98711
24, 16,  5.70,  2.10382E-6, -5.70, -0.70711,  0.00, -0.70711,  0.00,  1.00,  0.00, -1.00, -1.85797,  0.99249
25, 17,  5.70,  3.87788, -5.70, -0.70711,  0.00, -0.70711,  0.00,  1.00,  0.00, -1.00, -0.30308,  0.99249
26, 18,  5.84142,  3.87788, -5.84142, -0.70711,  0.00, -0.70711,  0.00,  1.00,  0.00, -1.00, -0.30308,  0.93578
27, 16,  5.70,  2.10382E-6, -5.70, -0.70711,  0.00, -0.70711,  0.00,  1.00,  0.00, -1.00, -1.85797,  0.99249
28, 18,  5.84142,  3.87788, -5.84142, -0.70711,  0.00, -0.70711,  0.00,  1.00,  0.00, -1.00, -0.30308,  0.93578
29, 19,  5.84142,  2.14990E-6, -5.84142, -0.70711,  0.00, -0.70711,  0.00,  1.00,  0.00, -1.00, -1.85797,  0.93578
30, 20,  5.70,  3.87788,  5.70, -0.70711,  0.00,  0.70711,  0.00,  1.00,  0.00, -1.00, -0.01498,  0.93578
31, 21,  5.70,  2.09977E-6,  5.70, -0.70711,  0.00,  0.70711,  0.00,  1.00,  0.00, -1.00, -1.56987,  0.93578
32, 22,  5.84142,  2.14585E-6,  5.84142, -0.70711,  0.00,  0.70711,  0.00,  1.00,  0.00, -1.00, -1.56987,  0.99249
33, 20,  5.70,  3.87788,  5.70, -0.70711,  0.00,  0.70711,  0.00,  1.00,  0.00, -1.00, -0.01498,  0.93578
34, 22,  5.84142,  2.14585E-6,  5.84142, -0.70711,  0.00,  0.70711,  0.00,  1.00,  0.00, -1.00, -1.56987,  0.99249
35, 23,  5.84142,  3.87788,  5.84142, -0.70711,  0.00,  0.70711,  0.00,  1.00,  0.00, -1.00, -0.01498,  0.99249
